country,time,six_vacc_rate
fsm,2003,64
fsm,2004,62
fsm,2005,70
fsm,2006,55
fsm,2007,79
fsm,2008,73
fsm,2009,73
fsm,2010,70
fsm,2011,72
fsm,2012,66
fsm,2013,68
fsm,2014,65
gab,2010,62
gab,2011,72
gab,2012,71
gab,2013,70
gab,2014,61
gab,2015,68
gab,2016,64
gab,2017,63
gab,2018,59
gab,2019,62
gab,2020,53
geo,2010,67
geo,2011,88
geo,2012,92
geo,2013,93
geo,2014,91
geo,2015,87
geo,2016,92
geo,2017,91
geo,2018,93
geo,2019,94
geo,2020,88
gha,2002,78
gha,2003,80
gha,2004,80
gha,2005,83
gha,2006,84
gha,2007,94
gha,2008,86
gha,2009,93
gha,2010,93
gha,2011,91
gha,2012,88
gha,2013,89
gha,2014,92
gha,2015,88
gha,2016,89
gha,2017,94
gha,2018,92
gha,2019,92
gha,2020,88
gin,2009,53
gin,2010,58
gin,2011,62
gin,2012,56
gin,2013,49
gin,2014,42
gin,2015,47
gin,2016,47
gin,2017,45
gin,2018,47
gin,2019,47
gin,2020,47
gmb,1998,85
gmb,1999,74
gmb,2000,80
gmb,2001,85
gmb,2002,86
gmb,2003,87
gmb,2004,87
gmb,2005,91
gmb,2006,89
gmb,2007,88
gmb,2008,92
gmb,2009,94
gmb,2010,92
gmb,2011,90
gmb,2012,95
gmb,2013,96
gmb,2014,96
gmb,2015,96
gmb,2016,95
gmb,2017,90
gmb,2018,91
gmb,2019,85
gnb,2009,69
gnb,2010,76
gnb,2011,83
gnb,2012,81
gnb,2013,81
gnb,2014,81
gnb,2015,80
gnb,2016,80
gnb,2017,66
gnb,2018,79
gnb,2019,60
gnq,2014,53
gnq,2015,37
gnq,2016,53
gnq,2017,53
gnq,2018,53
gnq,2019,53
gnq,2020,53
grc,1994,2
gtm,2005,87
gtm,2006,89
gtm,2007,85
gtm,2008,95
gtm,2009,92
gtm,2010,93
gtm,2011,85
gtm,2012,93
gtm,2013,84
gtm,2014,65
gtm,2015,74
gtm,2016,80
gtm,2017,81
gtm,2018,85
gtm,2019,79
gtm,2020,83
guy,2001,85
guy,2002,91
guy,2003,89
guy,2004,88
guy,2005,92
guy,2006,90
guy,2007,94
guy,2008,93
guy,2009,97
guy,2010,95
guy,2011,93
guy,2012,97
guy,2013,98
guy,2014,97
guy,2015,92
guy,2016,94
guy,2017,94
guy,2018,94
guy,2019,97
guy,2020,91
hnd,2000,88
hnd,2001,95
hnd,2002,94
hnd,2003,91
hnd,2004,92
hnd,2005,96
hnd,2006,94
hnd,2007,93
hnd,2008,92
hnd,2009,97
hnd,2010,97
hnd,2011,97
hnd,2012,97
hnd,2013,97
hnd,2014,96
hnd,2015,94
hnd,2016,93
hnd,2017,90
hnd,2018,91
hnd,2019,87
hnd,2020,80
hrv,2007,94
hrv,2008,96
hrv,2009,95
hrv,2010,96
hrv,2011,96
hrv,2012,95
hrv,2013,94
hrv,2014,94
hrv,2015,93
hrv,2016,90
hrv,2017,89
hrv,2018,93
hrv,2019,93
hti,2013,64
hti,2014,63
hti,2015,64
hti,2016,64
hti,2017,64
hti,2018,64
hti,2019,51
hti,2020,51
idn,2013,4
idn,2014,30
idn,2015,84
idn,2016,84
idn,2017,85
idn,2018,85
idn,2019,85
idn,2020,76
ind,2013,20
ind,2014,20
ind,2015,45
ind,2016,80
ind,2017,89
ind,2018,90
ind,2019,90
ind,2020,85
irl,2010,30
irl,2011,41
irl,2012,42
irl,2013,76
irl,2014,74
irl,2015,77
irl,2016,18
irl,2017,0
irl,2018,0
irl,2019,0
irl,2020,0
irn,2015,98
irn,2016,99
irn,2017,99
irn,2018,99
irn,2019,99
irn,2020,98
irq,2012,36
irq,2013,68
irq,2014,69
irq,2015,68
irq,2016,71
irq,2017,81
irq,2018,74
irq,2019,82
irq,2020,74
jam,2003,35
jam,2004,86
jam,2005,84
jam,2006,87
jam,2007,76
jam,2008,88
jam,2009,88
jam,2010,89
jam,2011,88
jam,2012,93
jam,2013,86
jam,2014,90
jam,2015,91
jam,2016,95
jam,2017,93
jam,2018,89
jam,2019,94
jam,2020,93
jor,2002,29
jor,2003,67
jor,2004,58
jor,2005,89
jor,2006,95
jor,2007,90
jor,2008,95
jor,2009,95
jor,2010,95
jor,2011,95
jor,2012,96
jor,2013,97
jor,2014,95
jor,2015,94
jor,2016,96
jor,2017,93
jor,2018,92
jor,2019,86
jor,2020,76
jpn,2019,96
jpn,2020,92
kaz,2008,49
kaz,2009,96
kaz,2010,96
kaz,2011,95
kaz,2012,95
kaz,2013,95
kaz,2014,95
kaz,2015,95
kaz,2016,82
kaz,2017,95
kaz,2018,95
kaz,2019,87
kaz,2020,88
ken,2002,78
ken,2003,72
ken,2004,73
ken,2005,69
ken,2006,77
ken,2007,76
ken,2008,88
ken,2009,88
ken,2010,86
ken,2011,87
ken,2012,93
ken,2013,87
ken,2014,92
ken,2015,83
ken,2016,88
ken,2017,81
ken,2018,89
ken,2019,89
ken,2020,88
kgz,2010,88
kgz,2011,94
kgz,2012,94
kgz,2013,97
kgz,2014,95
kgz,2015,97
kgz,2016,96
kgz,2017,92
kgz,2018,92
kgz,2019,94
kgz,2020,86
khm,2010,86
khm,2011,88
khm,2012,84
khm,2013,71
khm,2014,83
khm,2015,84
khm,2016,84
khm,2017,84
khm,2018,84
khm,2019,84
khm,2020,84
kir,2008,72
kir,2009,76
kir,2010,87
kir,2011,86
kir,2012,91
kir,2013,86
kir,2014,72
kir,2015,78
kir,2016,79
kir,2017,81
kir,2018,84
kir,2019,92
kir,2020,82
kwt,2006,84
kwt,2007,94
kwt,2008,99
kwt,2009,99
kwt,2010,98
kwt,2011,99
kwt,2012,97
kwt,2013,99
kwt,2014,94
kwt,2015,93
kwt,2016,96
kwt,2017,99
kwt,2018,91
kwt,2019,91
lao,2010,64
lao,2011,67
lao,2012,69
lao,2013,78
lao,2014,81
lao,2015,81
lao,2016,81
lao,2017,84
lao,2018,85
lao,2019,80
lao,2020,78
lbr,2008,75
lbr,2009,81
lbr,2010,65
lbr,2011,71
lbr,2012,80
lbr,2013,74
lbr,2014,58
lbr,2015,64
lbr,2016,70
lbr,2017,75
lbr,2018,74
lbr,2019,68
lbr,2020,61
lby,2007,56
lby,2008,98
lby,2009,98
lby,2010,98
lby,2011,98
lby,2012,98
lby,2013,96
lby,2014,93
lby,2015,97
lby,2016,97
lby,2017,94
lby,2018,73
lby,2019,73
lby,2020,73
lso,2009,84
lso,2010,88
lso,2011,87
lso,2012,91
lso,2013,90
lso,2014,88
lso,2015,83
lso,2016,87
lso,2017,87
lso,2018,87
lso,2019,87
lso,2020,75
ltu,1999,2
ltu,2000,2
ltu,2001,4
ltu,2002,5
ltu,2003,10
ltu,2004,35
ltu,2005,61
ltu,2006,94
ltu,2007,95
ltu,2008,96
ltu,2009,95
ltu,2010,94
ltu,2011,92
ltu,2012,93
ltu,2013,93
ltu,2014,93
ltu,2015,93
ltu,2016,94
ltu,2017,94
ltu,2018,92
ltu,2019,92
ltu,2020,90
lva,1998,9
lva,1999,76
lva,2000,79
lva,2001,84
lva,2002,87
lva,2003,96
lva,2004,98
lva,2005,97
lva,2006,94
lva,2007,91
lva,2008,93
lva,2009,92
lva,2010,90
lva,2011,89
lva,2012,90
lva,2013,94
lva,2014,92
lva,2015,93
lva,2016,93
lva,2017,96
lva,2018,95
lva,2019,96
lva,2020,99
mco,1999,99
mdg,2008,52
mdg,2009,63
mdg,2010,66
mdg,2011,62
mdg,2012,62
mdg,2013,64
mdg,2014,64
mdg,2015,56
mdg,2016,62
mdg,2017,55
mdg,2018,57
mdg,2019,64
mdg,2020,59
mdv,2013,58
mdv,2014,99
mdv,2015,99
mdv,2016,99
mdv,2017,99
mdv,2018,99
mdv,2019,98
mdv,2020,99
mex,2000,96
mex,2001,95
mex,2002,96
mex,2003,96
mex,2004,96
mex,2005,96
mex,2006,96
mex,2007,96
mex,2008,96
mex,2009,95
mex,2010,93
mex,2011,97
mex,2012,99
mex,2013,82
mex,2014,84
mex,2015,82
mex,2016,93
mex,2017,58
mex,2018,55
mex,2019,56
mex,2020,28
mhl,2000,36
mhl,2001,45
mhl,2002,80
mhl,2003,68
mhl,2004,46
mhl,2005,69
mhl,2006,60
mhl,2007,83
mhl,2008,86
mhl,2009,78
mhl,2010,92
mhl,2011,80
mhl,2012,67
mhl,2013,66
mhl,2014,65
mhl,2015,70
mhl,2016,58
mhl,2017,65
mhl,2018,72
mhl,2019,72
mli,2005,1
mli,2006,16
mli,2007,44
mli,2008,71
mli,2009,71
mli,2010,72
mli,2011,66
mli,2012,65
mli,2013,57
mli,2014,61
mli,2015,66
mli,2016,70
mli,2017,70
mli,2018,70
mli,2019,70
mli,2020,62
mrt,2009,59
mrt,2010,52
mrt,2011,67
mrt,2012,75
mrt,2013,80
mrt,2014,75
mrt,2015,67
mrt,2016,72
mrt,2017,78
mrt,2018,78
mrt,2019,78
mrt,2020,71
mus,2006,96
mus,2007,96
mus,2008,96
mus,2009,95
mus,2010,99
mus,2011,98
mus,2012,98
mus,2013,98
mus,2014,97
mus,2015,97
mus,2016,72
mus,2017,89
mus,2018,97
mus,2019,96
mus,2020,89
mwi,2002,64
mwi,2003,77
mwi,2004,80
mwi,2005,82
mwi,2006,85
mwi,2007,83
mwi,2008,88
mwi,2009,92
mwi,2010,86
mwi,2011,96
mwi,2012,90
mwi,2013,88
mwi,2014,85
mwi,2015,87
mwi,2016,81
mwi,2017,83
mwi,2018,87
mwi,2019,91
mwi,2020,87
mys,2004,71
mys,2005,85
mys,2006,89
mys,2007,90
mys,2008,95
mys,2009,95
mys,2010,95
mys,2011,95
mys,2012,95
mys,2013,95
mys,2014,94
mys,2015,93
mys,2016,93
mys,2017,93
mys,2018,96
mys,2019,97
mys,2020,95
nic,1999,79
prk,2012,32
prk,2013,93
prk,2014,93
prk,2015,96
prk,2016,96
prk,2017,97
prk,2018,96
prk,2019,96
prk,2020,70
prt,1998,64
prt,1999,61
qat,1997,87
qat,1998,89
qat,1999,87
slv,2002,81
slv,2003,90
slv,2004,90
slv,2005,84
slv,2006,93
slv,2007,99
slv,2008,95
slv,2009,91
slv,2010,89
slv,2011,89
slv,2012,90
slv,2013,90
slv,2014,85
slv,2015,91
slv,2016,87
slv,2017,83
slv,2018,81
slv,2019,78
slv,2020,64
swz,2009,88
swz,2010,89
swz,2011,85
swz,2012,88
swz,2013,96
swz,2014,97
swz,2015,84
swz,2016,89
swz,2017,89
swz,2018,85
swz,2019,81
swz,2020,76
tcd,2008,17
tcd,2009,24
tcd,2010,39
tcd,2011,33
tcd,2012,40
tcd,2013,39
tcd,2014,36
tcd,2015,42
tcd,2016,37
tcd,2017,37
tcd,2018,26
tcd,2019,41
tcd,2020,47
ury,1999,91
