concept,concept_type,source_url,version,updated,name_short,name,name_catalog,description,unit,topic,color,format,scales
bwelfr_idea,measure,http://gapm.io/ddemocrix_idea,v5,March 27 2023,Basic welfare Index (IDEA),Basic welfare Index (IDEA),,"The provision of basic welfare is measured using standard observable human development indicators: infant mortality rate, life expectancy, kilocalories per person per day, literacy rate and average years of schooling. In addition, two expert-based indicators from V-Dem were included that assess whether everyone in a given society has access to basic education and health care. All the indicators reflect the extent to which the basic needs of the population are being met. The seven indicators ( infant mortality rate, life expectancy, kilocalories per person per day, literacy, mean years of schooling, educational equality  and health equality) were aggregated into the basic welfare sub- component using IRT.",Percent,more_dem_idea,,percent,
gendereq_idea,measure,http://gapm.io/ddemocrix_idea,v5,March 27 2023,Gender equality Index (IDEA),Gender equality Index (IDEA),,"Two expert-coded indicators from V-Dem were used to operationalize gender equality–power distribution by gender and female participation in civil society organizations—as well as three observational indicators on the ratio between female and male mean years of schooling (GHDx), the proportion of lower chamber female legislators (V-Dem)and the proportion of women in ministerial-level positions (IPU). The five indicators were aggregated into the gender equality sub-component using IRT.1Power distributed by gender 2CSO women’s participation 3.Female vs. male mean years of schooling 4.Lower chamber female legislators 4.Election women in the cabinet",Percent,more_dem_idea,,percent,
checkgvt_idea,measure,http://gapm.io/ddemocrix_idea,v5,March 27 2023,Checks on Government Index (IDEA),Checks on Government Index (IDEA),,"Checks on Government measures elective control of executive power. It includes three subattributes: Elective Parliament, Judicial Independence and Media Integrity. The three subattributes were aggregated into the Checks on Government index using BFA.",Percent,democracy_idea,,percent,
efparlt_idea,measure,http://gapm.io/ddemocrix_idea,v5,March 27 2023,Effective parliament Index (IDEA),Effective parliament Index (IDEA),,"The effectiveness of parliament subattribute denotes the extent to which the legislature is capable of overseeing the executive. It includes three indicators from the V-Dem experts survey that tap fairly directly into the effectiveness of parliament. Another V-Dem indicator on executive oversight and the executive constraints indicator from Polity are included as they capture relevant aspects of institutional Checks on Government not covered by judicial independence and media integrity. The five indicators ( i.e legislature questions officials in practice, executive oversight, legislature investigates in practice, legislature opposition parties  and executive constraints) were aggregated into the effective parliament subattribute using IRT.",Percent,more_dem_idea,,percent,
judicindep_idea,measure,http://gapm.io/ddemocrix_idea,v5,March 27 2023,Judicial independence Index (IDEA),Judicial independence Index (IDEA),,"The judicial independence subattribute denotes the extent to which the courts are not subject to undue influence from the other branches of government, especially the executive. This subattribute  includes five indicators:High Court independence, Lower Court independence, compliance with High Court, compliance with judiciary and law and order.  These five indicators were aggregated into the judicial independence subattribute using IRT.",Percent,more_dem_idea,,percent,
mediaint_idea,measure,http://gapm.io/ddemocrix_idea,v5,March 27 2023,Media integrity Index (IDEA),Media integrity Index (IDEA),,"The media integrity subattribute denotes the extent to which the media landscape offers diverse and critical coverage of political issues. Media integrity and freedom of expression are related. Nonetheless, the media can do a poor job controlling the government even in a situation of media freedom if they are very one-sided, uncritical, superficial or corrupt. V-Dem offers indicators that reflect these additional circumstances. These indicators are based on expert surveys in addition to an in-house coded indicator from MFD, which indicates whether the media are critical of the government and its officials. The five indicators ( i.e critical print / broadcast media, Print / broadcast media perspective, media bias, media corrupt  and media freedom) were aggregated into the media integrity subattribute using BFA.",Percent,more_dem_idea,,percent,
impadmin_idea,measure,http://gapm.io/ddemocrix_idea,v5,March 27 2023,Impartial Administration Index (IDEA),Impartial Administration Index (IDEA),,"Impartial Administration concerns how fairly and predictably political decisions are implemented, and thus re ects key aspects of the rule of law. It includes two subattributes: Absence of Corruption and Predictable Enforcement, and they were aggregated into the Impartial Administration index using BFA.",Percent,democracy_idea,,percent,
abscorrup_idea,measure,http://gapm.io/ddemocrix_idea,v5,March 27 2023,Absence of corruption Index  (IDEA),Absence of corruption Index (IDEA),,"The absence of corruption subattribute denotes the extent to which the executive and the public administration, more broadly, do not abuse their office for personal gain. Four V-Dem indicators explicitly refer to corruption in the government broadly understood, i.e., the executive and public administration more generally (but excluding courts and parliaments). Another expert-coded but broader indicator on government corruption from the ICRG data set were also used . The five indicators ( public sector corrupt exchanges, public sector theft, executive embezzlement and theft, executive bribery and corrupt exchanges and corruption) have been aggregated into the absence of corruption subattribute using IRT.",Percent,more_dem_idea,,percent,
prenforct_idea,measure,http://gapm.io/ddemocrix_idea,v5,March 27 2023,Predictable enforcement Index (IDEA),Predictable enforcement Index (IDEA),,"The predictable enforcement subattribute denotes the extent to which the executive and public officials enforce laws in a predictable manner. To measure predictable enforcement, three expert-coded V-Dem indicators were included: the executive’s respect for constitutional provisions, the presence of transparent laws with predictable enforcement and rule-abidingness in the public sector. To these were added an indicator from the ICRG (also expert-coded) on the strength and expertise of the bureaucracy. The four indicators were aggregated into the predictable enforcement subattribute using IRT.",Percent,more_dem_idea,,percent,
civsocpart_idea,measure,http://gapm.io/ddemocrix_idea,v5,March 27 2023,Civil society participation Index  (IDEA),Civil society participation Index (IDEA),,"The measurement of civil society participation relies on three V-Dem indicators. They result from an expert survey and consider the extent to which the population is engaged in civil society activities. The three indicators on civil society participation (which are CSO participatory environment, engaged society  and CSO participatory environment ), clearly tapped into a common dimension and were aggregated into an index using BFA.",Percent,democracy_idea,,percent,
elecparti_idea,measure,http://gapm.io/ddemocrix_idea,v5,March 27 2023,Electoral Participation Index (IDEA),Electoral Participation Index (IDEA),,"Electoral participation measure to what extent do people participate in national elections.This observational indicator from V-Dem, which is to a large extent based on initial data collection by International IDEA, captures the concept of interest in a direct way.",Percent,democracy_idea,,percent,
dirdemo_idea,measure,http://gapm.io/ddemocrix_idea,v5,March 27 2023,Direct Democracy Index (IDEA),Direct Democracy Index (IDEA),,Direct democracy  subattribute measure to what extent are mechanisms of direct democracy available and used. This subattribute iunclute two indicator: direct democracy from V-Dem and  the electoral indicator from BRRD.,Percent,democracy_idea,,percent,
locdemo_idea,measure,http://gapm.io/ddemocrix_idea,v5,March 27 2023,Local Democracy Index (IDEA),Local Democracy Index (IDEA),," Local democracy subattribute measure the extent to what are there freely elected, influential local governments?It includes two indicators fromV-Dem:the local government index , which indicates whether the local government is elected and whether it is empowered in relation to the central government, and Subnational elections free and fair indicator assesses the freedom and fairness of subnational elections.",Percent,democracy_idea,,percent,
c_rgvt_idea,measure,http://gapm.io/ddemocrix_idea,v5,March 27 2023,Change in Representative Government Index (IDEA),Annual change in Representative Government Index (IDEA),,The annual change of percentage points of representative government index which is calculated simply by taking the representative government index of one year and subtract the value for the previous year. A negative number means the representative government Index declined.,Percentage points,democracy_idea,,,
c_fundright_idea,measure,http://gapm.io/ddemocrix_idea,v5,March 27 2023,Change in Fundamental Rights Index (IDEA),Annual change in Fundamental Rights Index (IDEA),,The annual change of percentage points of fundamental rights index which is calculated simply by taking the fundamental rights index of one year and subtract the value for the previous year. A negative number means the fundamental rights Index declined.,Percentage points,democracy_idea,,,
c_checkgvt_idea,measure,http://gapm.io/ddemocrix_idea,v5,March 27 2023,Change in Checks on Government Index (IDEA),Annual change in Checks on Government Index (IDEA),,The annual change of percentage points of Checks on Government index which is calculated simply by taking the Checks on Government index of one year and subtract the value for the previous year. A negative number means the Checks on Government Index declined.,Percentage points,democracy_idea,,,
c_impadmin_idea,measure,http://gapm.io/ddemocrix_idea,v5,March 27 2023,Change in Impartial Administration Index (IDEA),Annual change in Impartial Administration Index (IDEA),,The annual change of percentage points of Impartial Administration index which is calculated simply by taking the Impartial Administrationt index of one year and subtract the value for the previous year. A negative number means the Impartial Administration Index declined.,Percentage points,democracy_idea,,,
c_civsocpart_idea,measure,http://gapm.io/ddemocrix_idea,v5,March 27 2023,Change in  civil society Participation Index (IDEA),Annual change in  civil society Participation Index (IDEA),,The annual change of percentage points of Civil Society Participation Index which is calculated simply by taking the Civil Society Participation Index of one year and subtract the value for the previous year. A negative number means the Civil Society Participation Index declined.,Percentage points,democracy_idea,,,
c_elecparti_idea,measure,http://gapm.io/ddemocrix_idea,v5,March 27 2023,Change in Electoral Participation Index (IDEA),Annual change in Electoral Participation Index (IDEA),,The annual change of percentage points of Electoral Participation Index which is calculated simply by taking the Electoral Participation Index of one year and subtract the value for the previous year. A negative number means the Electoral Participation Index declined.,Percentage points,democracy_idea,,,
c_dirdemo_idea,measure,http://gapm.io/ddemocrix_idea,v5,March 27 2023,Change in Direct democracy Index (IDEA),Annual change in Direct democracy Index (IDEA),,The annual change of percentage points of Direct democracy Index which is calculated simply by taking the Direct democracy Index of one year and subtract the value for the previous year. A negative number means the Direct democracy Index declined.,Percentage points,democracy_idea,,,
c_locdemo_idea,measure,http://gapm.io/ddemocrix_idea,v5,March 27 2023,Change in Local Democracy Index (IDEA),Annual change in Local Democracy Index (IDEA),,The annual change of percentage points of Local democracy Index which is calculated simply by taking the Local democracy Index of one year and subtract the value for the previous year. A negative number means the Local democracy Index declined.,Percentage points,democracy_idea,,,
freedstatus_fh,string,http://gapm.io/dfreedom_fh,v4,March 27 2023,Freedom status (FH),Freedom status (FH),,"This is a descriptive text of the real-world rights and freedoms enjoyed by individuals.It is determined by the freedom rating which is the average of  poltical rights and civil liberties ratings. If the average of poltical rights and civil liberties ratings is between 1 and 2.5, a country is regarded as free, between 3 and 5, Partlty Free and between 5.5. and 7, Not Free.",categories,freedom_fh,,,
freedix_fh,measure,http://gapm.io/dfreedom_fh,v4,March 27 2023,Freedom index (FH),Freedom index (FH),,Freedom index is the average of political rights and civil liberties ratings and is used to determine countries' freedom statuses. It's range on a scale of 1 (most free)  to 7 ( least free). ,rating,freedom_fh,,,
polrights_fh,measure,http://gapm.io/dfreedom_fh,v4,March 27 2023,Political Rights index (FH),Political Rights index (FH),,"Political rights is assessed by 10 indicators asked in form of questions and grouped into 3 subcategories:                                                                                                                                   A. Electoral Process (0–12 points)                                                                                                                                                                                                                        1.was the current head of government or other chief national authority elected through free and fair elections?                                                                                                                                                                               2.Were the current national legislative representatives elected through free and fair elections?                                                                                                              3.Are the electoral laws and framework fair, and are they implemented impartially by the relevant election management bodies?                                                                                                                                         B.Political Pluralism and Participation (0-16 points)                                                                                                                                                                                                                     1.Do the people have the right to organize in different political parties or other competitive political groupings of their choice, and is the system free of undue obstacles to the rise and fall of these competing parties or groupings?                                                                                                                     2.Is there a realistic opportunity for the opposition to increase its support or gain power through elections?                                                                                                                                        3.Are the people’s political choices free from domination by the military, foreign powers, religious hierarchies, economic oligarchies, or any other powerful group that is not democratically accountable?                                                                                                                                  4.Do various segments of the population (including ethnic, religious, gender, LGBT, and other relevant groups) have full political rights and electoral opportunities?                                                                                                                                                                                                                                              C.Functioning of Government (0-12 points)                                                                                                                                                                                                                                              1.Do the freely elected head of government and national legislative representatives determine the policies of the government?                                                                                                                                                                2.Are safeguards against official corruption strong and effective?                                                                                                                                  3.Does the government operate with openness and transparency?                                                                                                                                    Addtional Discretionary Political Rights Question (-4 to 0 points)
Is the government or occupying power deliberately changing the ethnic composition of a country or territory so as to destroy a culture or tip the political balance in favor of another group?                                                                                                                                                                                                                             A rating ranged from 1 to 7 with 1 representing the greatest degree of freedom and 7 the smallest degree of freedom. A rating is assigned to a country based on the total scores of political rights questions in the follwing way: a score of 36-40 is given a ranting of 1,  30-35 => 2,  24-29 => 3, 18-23 => 4,  12-17 => 5, 6-11 => 6, 0-5 => 7",rating,freedom_fh,,,
cliberities_fh,measure,http://gapm.io/dfreedom_fh,v4,March 27 2023,Civil Liberties index (FH),Civil Liberties index (FH),,"Civil liberties are assessed by 15 indicators taking a form of questions  and gouped into 4 subcategories                                                                                                                                    A.Freedom of Expression and Belief (0-16 points)                                                                                                                                                                                                                                                           1. Are there free and independent media?                                                                                                                                                                                                                                                          2.Are individuals free to practice and express their religious faith or nonbelief in public and private?                                                                                                                                                                       3.Is there academic freedom, and is the educational system free from extensive political indoctrination?                                                                                                                                              4.Are individuals free to express their personal views on political or other sensitive topics without fear of surveillance or retribution?                                                                                                                                                                             B.Associational and Organizational Rights (0-12 points)                                                                                                                                                                                                                                                          1.Is there freedom of assembly?                                                                                                                                                                                                                                                               2.Is there freedom for nongovernmental organizations, particularly those that are engaged in human rights– and governance-related work?                                                                                                                                                             3.Is there freedom for trade unions and similar professional or labor organizations?                                                                                                                                                                                                                                                        C.Rule of Law (0-16 points)                                                                                                                                                                                                                                                                    1.Is there an independent judiciary?
2.Does due process prevail in civil and criminal matters?                                                                                                                                                                                                                                                                                     3.Is there protection from the illegitimate use of physical force and freedom from war and insurgencies?                                                                                                                                                                                                                                                          4.Do laws, policies, and practices guarantee equal treatment of various segments of the population?
C.Personal Autonomy and Individual Rights (0-16 points)                                                                                                                                                                                                                                                          1.Do individuals enjoy freedom of movement, including the ability to change their place of residence, employment, or education?                                                                                                                                                                           2.Are individuals able to exercise the right to own property and establish private businesses without undue interference from state or nonstate actors?
3.Do individuals enjoy personal social freedoms, including choice of marriage partner and size of family, protection from domestic violence, and control over appearance?
4.Do individuals enjoy equality of opportunity and freedom from economic exploitation?                                                                                                                                                                                                                                               A rating ranged from 1 to 7 with 1 representing the greatest degree of freedom and 7 the smallest degree of freedom; is assigned to a country based on the total scores of civil liberties questiona in the follwing way: score of 53-60 is given a ranting of 1,44-52=>2,  35-43=>3, 26-34=>4,  17-25=>5, 8-16=>6,  0-7=>7                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ",rating,freedom_fh,,,
demox_eiu,measure,http://gapm.io/ddemocrix_eiu,v2,February 18 2019,Democracy index (EIU),Democracy index (EIU),,"This democracy index is using the data from the Economist Inteligence Unit to express the quality of democracies as a number between 0 and 100. It's based on 60 different aspects of societies that are relevant to democracy universal suffrage for all adults, voter participation, perception of human rights protection and freedom to form organizations and parties.
The democracy index is calculated from the 60 indicators, divided into five ""sub indexes"", which are:
1. Electoral pluralism index;
2. Government index;
3. Political participation indexm;
4. Political culture index;
5. Civil liberty index.
The sub-indexes are based on the sum of scores on roughly 12 indicators per sub-index, converted into a score between 0 and 100.
(The Economist publishes the index with a scale from 0 to 10, but Gapminder has converted it to 0 to 100 to make it easier to communicate as a percentage.)",Percent,democracy_eiu,,percent,
electoplx_eiu,measure,http://gapm.io/ddemocrix_eiu,v2,February 18 2019,Electoral pluralism index (EIU),Index of the electoral process and pluralism (EIU),,"This is one of five subindexes of the democracy index composed from the following indicators estimated by experts in each field:
1. Are elections for the national legislature and head of government free?;
2. Are elections for the national legislature and head of government fair?;
3. Are municipal elections both free and fair?;
4. Is there universal suffrage for all adults?;
5. Can citizens cast their vote free of significant threats to their security from state or non-state
bodies?;
6. Do laws provide for broadly equal campaigning opportunities?;
7. Is the process of financing political parties transparent and generally accepted?;
8. Following elections, are the constitutional mechanisms for the orderly transfer of power from one
government to another clear, established and accepted?;
9. Are citizens free to form political parties that are independent of the government? ;
10. Do opposition parties have a realistic prospect of achieving government?;
11. Is potential access to public office open to all citizens?;
12. Are citizens allowed to form political and civic organisations, free of state interference and
surveillance?;",Percent,democracy_eiu,,percent,
gvtx_eiu,measure,http://gapm.io/ddemocrix_eiu,v4,April 6 2021,Government index (EIU),Index of the functioning of government (EIU),,"This is one of five subindexes of the democracy index composed from the following indicators estimated by experts in each field:
1. Do freely elected representatives determine government policy?;
2. Is the legislature the supreme political body, with a clear supremacy over other branches of
government?;
3. Is there an effective system of checks and balances on the exercise of government authority?;
4. Government is free of undue influence by the military or the security services.;
5. Foreign powers and organisations do not determine important government functions or policies.;
6. Do special economic, religious or other powerful domestic groups exercise significant political
power, parallel to democratic institutions?;
7. Are sufficient mechanisms and institutions in place for ensuring government accountability to the
electorate in between elections?;
8. Does the government’s authority extend over the full territory of the country?;
9. Is the functioning of government open and transparent, with sufficient public access to information?;
10. How pervasive is corruption?;
11. Is the civil service willing to and capable of implementing government policy?;
12. Popular perceptions of the extent to which citizens have free choice and control over their lives.;
13. Public confidence in government.;
14. Public confidence in political parties.",Percent,democracy_eiu,,percent,
polpartix_eiu,measure,http://gapm.io/ddemocrix_eiu,v4,April 6 2021,Political participation index(EIU),Index of the political participation (EIU),,"This is one of five subindexes of the democracy index composed fomr the following indicators estimated by experts in each field:
1. Voter participation/turn-out for national elections.;
2. Do ethnic, religious and other minorities have a reasonable degree of autonomy and voice in the
political process?;
3. Women in parliament.;
4. Extent of political participation. Membership of political parties and political non-governmental
organisations.;
5. Citizens’ engagement with politics;
6. The preparedness of population to take part in lawful demonstrations.;
7. Adult literacy;
8. Extent to which adult population shows an interest in and follows politics in the news. ;
9. The authorities make a serious effort to promote political participation.;""",Percent,democracy_eiu,,percent,
polcultx_eiu,measure,http://gapm.io/ddemocrix_eiu,v4,April 6 2021,Political culture index (EIU),Index of the political culture (EIU),,"This is one of five subindexes of the democracy index composed fomr the following indicators estimated by experts in each field:
1. Is there a sufficient degree of societal consensus and cohesion to underpin a stable, functioning
democracy?;
2. Perceptions of leadership; proportion of the population that desires a strong leader who bypasses
parliament and elections.;
3. Perceptions of military rule; proportion of the population that would prefer military rule.;
4. Perceptions of rule by experts or technocratic government; proportion of the population that
would prefer rule by experts or technocrats.;
5. Perception of democracy and public order; proportion of the population that believes that
democracies are not good at maintaining public order.;
6. Perception of democracy and the economic system; proportion of the population that believes
that democracy benefits economic performance.;
7. Degree of popular support for democracy.;
8. There is a strong tradition of the separation of Church and State.;",Percent,democracy_eiu,,percent,
civlibx_eiu,measure,http://gapm.io/ddemocrix_eiu,v4,April 6 2021,Civil liberties index (EIU),Index of the civil liberties (EIU),,"""This is one of five subindexes of the democracy index composed fomr the following indicators estimated by experts in each field:
1. Is there a free electronic media?;
2. Is there a free print media?;
3. Is there freedom of expression and protest (bar only generally accepted restrictions, such as
banning advocacy of violence)?;
4. Is media coverage robust? Is there open and free discussion of public issues, with a reasonable diversity of opinions?;
5. Are there political restrictions on access to the Internet?;
6. Are citizens free to form professional organisations and trade unions?;
7. Do institutions provide citizens with the opportunity to petition government to redress grievances?;
8. The use of torture by the state.;
9. The degree to which the judiciary is independent of government influence. Consider the views of international legal and judicial watchdogs. Have the courts ever issued an
important judgement against the government, or a senior government official?;
10. The degree of religious tolerance and freedom of religious expression. Are all religions permitted to operate freely, or are some restricted? Is the right to worship
permitted both publicly and privately? Do some religious groups feel intimidated by others, even if the law requires equality and protection?;
11. The degree to which citizens are treated equally under the law. Consider whether favoured groups or individuals are spared prosecution under the law.;
12. Do citizens enjoy basic security?;
13. Extent to which private property rights are protected and private business is free from undue government influence;
14. Extent to which citizens enjoy personal freedoms. Consider gender equality, right to travel, choice of work and study.;
15. Popular perceptions on protection of human rights; proportion of the population that think that basic human rights are well-protected.;
16. There is no significant discrimination on the basis of people’s race, colour or religious beliefs;
17. Extent to which the government invokes new risks and threats as an excuse for curbing civil liberties.",Percent,democracy_eiu,,percent,
c_demox_eiu,measure,http://gapm.io/ddemocrix_eiu,v4,April 6 2021,Change in democracy index (EIU),Annual change in democracy index (EIU),,The annual change of percentage points compared to previous year is calculated simply by taking the Democracy index form EIU one year and subtract the value for the previouse year. A negative number means the Democracy Index declined.,Percentage points,democracy_eiu,,,
refugee_in_perc_wb,measure,http://gapm.io/drefugees_wb,v2,July 27 2020,Share refugees,Refugees as share of population in the country of residence.,Share refugees,This is the share of refugees as a percentage of total population in the country of residence.,percent,refugees,,percent,
refugee_from_perc_wb,measure,http://gapm.io/drefugees_wb,v2,July 27 2020,Refugee diaspora rate of origin population,Refugees as share of population in the country of origin.,Refugee diaspora rate of origin population,This is showing refugees abroad as percentage of the current population in their country of origin.,percent,refugees,,percent,
u5pop,measure,http://gapm.io/du5pop,v1,January 31 2020,Under-five population,Number of under five years children,Under-five population,"Total number of children, aged 0 to 4 years old.",people,population,,,
