country,time,mcv2_vacc
eth,2021,46
eth,2022,48
eth,2023,53
fin,2010,92
fin,2011,92
fin,2012,92
fin,2013,92
fin,2014,92
fin,2015,92
fin,2016,87
fin,2017,85
fin,2018,88
fin,2019,89
fin,2020,86
fin,2021,82
fin,2022,87
fin,2023,87
fji,2005,74
fji,2006,94
fji,2007,94
fji,2008,93
fji,2009,93
fji,2010,93
fji,2011,93
fji,2012,92
fji,2013,92
fji,2014,86
fji,2015,94
fji,2016,83
fji,2017,86
fji,2018,89
fji,2019,72
fji,2020,71
fji,2021,78
fji,2022,84
fji,2023,83
fra,2010,61
fra,2011,67
fra,2012,72
fra,2013,75
fra,2014,77
fra,2015,79
fra,2016,80
fra,2017,80
fra,2018,83
fra,2019,86
fra,2020,90
fra,2021,91
fra,2022,92
fra,2023,93
fsm,2000,50
fsm,2001,64
fsm,2002,65
fsm,2003,66
fsm,2004,74
fsm,2005,84
fsm,2006,85
fsm,2007,86
fsm,2008,84
fsm,2009,82
fsm,2010,75
fsm,2011,75
fsm,2012,70
fsm,2013,75
fsm,2014,75
fsm,2015,74
fsm,2016,45
fsm,2017,52
fsm,2018,48
fsm,2019,52
fsm,2020,62
fsm,2021,38
fsm,2022,38
fsm,2023,59
gab,2000,44
gab,2001,44
gab,2002,44
gab,2003,44
gab,2004,44
gab,2005,44
gab,2006,44
gab,2007,78
gab,2008,81
gab,2009,74
gab,2010,68
gab,2011,75
gab,2012,80
gab,2013,77
gab,2014,68
gab,2015,79
gab,2016,74
gab,2017,74
gab,2018,64
gab,2019,70
gab,2020,62
gab,2021,69
gab,2022,59
gab,2023,69
geo,2001,8
geo,2002,40
geo,2003,57
geo,2004,75
geo,2005,87
geo,2006,88
geo,2007,92
geo,2008,87
geo,2009,71
geo,2010,84
geo,2011,77
geo,2012,79
geo,2013,89
geo,2014,87
geo,2015,91
geo,2016,85
geo,2017,90
geo,2018,96
geo,2019,97
geo,2020,77
geo,2021,81
geo,2022,78
geo,2023,86
gha,2012,52
gha,2013,54
gha,2014,67
gha,2015,63
gha,2016,75
gha,2017,83
gha,2018,83
gha,2019,83
gha,2020,79
gha,2021,83
gha,2022,84
gha,2023,78
gin,2022,3
gin,2023,26
gmb,2012,56
gmb,2013,53
gmb,2014,73
gmb,2015,81
gmb,2016,79
gmb,2017,68
gmb,2018,71
gmb,2019,61
gmb,2020,61
gmb,2021,61
gmb,2022,52
gmb,2023,73
gnb,2022,1
gnb,2023,36
gnq,2021,17
gnq,2022,13
gnq,2023,28
gtm,2016,67
gtm,2017,89
gtm,2018,78
gtm,2019,78
gtm,2020,79
gtm,2021,79
gtm,2022,71
gtm,2023,77
guy,2001,88
guy,2002,80
guy,2003,71
guy,2004,63
guy,2005,72
guy,2006,74
guy,2007,90
guy,2008,84
guy,2009,84
guy,2010,82
guy,2011,84
guy,2012,90
guy,2013,95
guy,2014,91
guy,2015,95
guy,2016,94
guy,2017,93
guy,2018,84
guy,2019,92
guy,2020,97
guy,2021,83
guy,2022,99
guy,2023,99
hnd,2018,94
hnd,2019,85
hnd,2020,79
hnd,2021,75
hnd,2022,70
hnd,2023,74
hrv,2001,98
hrv,2002,98
hrv,2003,98
hrv,2004,98
hrv,2005,98
hrv,2006,98
hrv,2007,98
hrv,2008,98
hrv,2009,98
hrv,2010,98
hrv,2011,98
hrv,2012,97
hrv,2013,97
hrv,2014,97
hrv,2015,96
hrv,2016,96
hrv,2017,95
hrv,2018,95
hrv,2019,95
hrv,2020,91
hrv,2021,90
hrv,2022,90
hrv,2023,90
hti,2016,26
hti,2017,25
hti,2018,38
hti,2019,41
hti,2020,41
hti,2021,41
hti,2022,41
hti,2023,41
hun,2011,84
hun,2012,90
hun,2013,92
hun,2014,93
hun,2015,94
hun,2016,98
hun,2017,99
hun,2018,99
hun,2019,99
hun,2020,99
hun,2021,99
hun,2022,99
hun,2023,99
idn,2003,21
idn,2004,29
idn,2005,23
idn,2006,50
idn,2007,73
idn,2008,66
idn,2009,67
idn,2010,74
idn,2011,76
idn,2012,78
idn,2013,76
idn,2014,28
idn,2015,31
idn,2016,55
idn,2017,63
idn,2018,67
idn,2019,71
idn,2020,60
idn,2021,53
idn,2022,71
idn,2023,62
ind,2011,27
ind,2012,36
ind,2013,51
ind,2014,60
ind,2015,69
ind,2016,76
ind,2017,80
ind,2018,82
ind,2019,84
ind,2020,81
ind,2021,82
ind,2022,90
ind,2023,90
irl,2010,43
irl,2011,90
irl,2012,91
irl,2013,91
irl,2014,92
irl,2015,92
irl,2016,91
irl,2017,91
irl,2018,90
irl,2019,86
irl,2020,86
irl,2021,85
irl,2022,84
irl,2023,83
irn,2000,99
irn,2001,94
irn,2002,96
irn,2003,96
irn,2004,99
irn,2005,92
irn,2006,98
irn,2007,97
irn,2008,96
irn,2009,99
irn,2010,99
irn,2011,99
irn,2012,97
irn,2013,97
irn,2014,98
irn,2015,98
irn,2016,98
irn,2017,98
irn,2018,98
irn,2019,98
irn,2020,98
irn,2021,98
irn,2022,98
irn,2023,99
irq,2001,52
irq,2002,48
irq,2003,45
irq,2004,41
irq,2005,58
irq,2006,52
irq,2007,64
irq,2008,76
irq,2009,87
irq,2010,77
irq,2011,77
irq,2012,68
irq,2013,57
irq,2014,67
irq,2015,76
irq,2016,75
irq,2017,84
irq,2018,83
irq,2019,86
irq,2020,93
irq,2021,84
irq,2022,97
irq,2023,83
jam,2001,96
jam,2002,96
jam,2003,95
jam,2004,95
jam,2005,91
jam,2006,88
jam,2007,84
jam,2008,80
jam,2009,78
jam,2010,56
jam,2011,60
jam,2012,76
jam,2013,71
jam,2014,72
jam,2015,83
jam,2016,85
jam,2017,95
jam,2018,82
jam,2019,92
jam,2020,89
jam,2021,85
jam,2022,83
jam,2023,89
jor,2000,83
jor,2001,87
jor,2002,90
jor,2003,91
jor,2004,98
jor,2005,92
jor,2006,88
jor,2007,97
jor,2008,90
jor,2009,90
jor,2010,95
jor,2011,95
jor,2012,96
jor,2013,98
jor,2014,98
jor,2015,96
jor,2016,99
jor,2017,99
jor,2018,96
jor,2019,93
jor,2020,90
jor,2021,85
jor,2022,80
jor,2023,89
jpn,2008,78
jpn,2009,92
jpn,2010,97
jpn,2011,92
jpn,2012,92
jpn,2013,93
jpn,2014,94
jpn,2015,93
jpn,2016,93
jpn,2017,95
jpn,2018,93
jpn,2019,93
jpn,2020,95
jpn,2021,94
jpn,2022,95
jpn,2023,94
kaz,2000,98
kaz,2001,95
kaz,2002,98
kaz,2003,99
kaz,2004,99
kaz,2005,96
kaz,2006,99
kaz,2007,99
kaz,2008,99
kaz,2009,99
kaz,2010,99
kaz,2011,99
kaz,2012,97
kaz,2013,99
kaz,2014,99
kaz,2015,98
kaz,2016,99
kaz,2017,99
kaz,2018,98
kaz,2019,98
kaz,2020,91
kaz,2021,96
kaz,2022,97
kaz,2023,99
ken,2015,28
ken,2016,35
ken,2017,41
ken,2018,53
ken,2019,60
ken,2020,67
ken,2021,71
ken,2022,70
ken,2023,76
kgz,2000,96
kgz,2001,98
kgz,2002,98
kgz,2003,98
kgz,2004,98
kgz,2005,98
kgz,2006,97
kgz,2007,95
kgz,2008,97
kgz,2009,98
kgz,2010,98
kgz,2011,98
kgz,2012,98
kgz,2013,97
kgz,2014,97
kgz,2015,96
kgz,2016,98
kgz,2017,96
kgz,2018,96
kgz,2019,98
kgz,2020,93
kgz,2021,97
kgz,2022,95
kgz,2023,93
khm,2012,41
khm,2013,52
khm,2014,61
khm,2015,59
khm,2016,64
khm,2017,67
khm,2018,64
khm,2019,75
khm,2020,72
khm,2021,63
khm,2022,69
khm,2023,64
kir,2009,35
kir,2010,21
kir,2011,61
kir,2012,9
kir,2013,84
kir,2014,80
kir,2015,76
kir,2016,79
kir,2017,79
kir,2018,85
kir,2019,91
kir,2020,57
kir,2021,58
kir,2022,68
kir,2023,47
kna,2000,99
kna,2001,99
kna,2002,99
kna,2003,98
kna,2004,98
kna,2005,97
kna,2006,96
kna,2007,95
kna,2008,94
kna,2009,99
kna,2010,99
kna,2011,99
kna,2012,90
kna,2013,94
kna,2014,90
kna,2015,90
kna,2016,96
kna,2017,95
kna,2018,96
kna,2019,98
kna,2020,99
kna,2021,94
kna,2022,93
kna,2023,94
kor,2000,39
kor,2001,67
kor,2002,95
kor,2003,95
kor,2004,99
kor,2005,99
kor,2006,99
kor,2007,99
kor,2008,99
kor,2009,99
kor,2010,98
kor,2011,98
kor,2012,97
kor,2013,95
kor,2014,96
kor,2015,97
kor,2016,97
kor,2017,97
kor,2018,97
kor,2019,96
kor,2020,95
kor,2021,95
kor,2022,95
kor,2023,96
kwt,2005,77
kwt,2006,96
kwt,2007,90
kwt,2008,86
kwt,2009,94
kwt,2010,99
kwt,2011,99
kwt,2012,99
kwt,2013,99
kwt,2014,86
kwt,2015,96
kwt,2016,99
kwt,2017,99
kwt,2018,94
kwt,2019,94
kwt,2020,94
kwt,2021,94
kwt,2022,94
kwt,2023,91
lao,2017,1
lao,2018,70
lao,2019,56
lao,2020,64
lao,2021,50
lao,2022,55
lao,2023,68
lbr,2019,13
lbr,2020,30
lbr,2021,35
lbr,2022,59
lbr,2023,60
lby,2001,81
lby,2002,86
lby,2003,90
lby,2004,95
lby,2005,95
lby,2006,96
lby,2007,97
lby,2008,97
lby,2009,97
lby,2010,97
lby,2011,97
lby,2012,97
lby,2013,95
lby,2014,92
lby,2015,97
lby,2016,96
lby,2017,94
lby,2018,72
lby,2019,72
lby,2020,72
lby,2021,72
lby,2022,72
lby,2023,72
lca,2000,89
lca,2001,73
lca,2002,71
lca,2003,69
lca,2004,67
lca,2005,56
lca,2006,45
lca,2007,33
lca,2008,22
lca,2009,63
lca,2010,74
lca,2011,72
lca,2012,80
lca,2013,62
lca,2014,79
lca,2015,95
lca,2016,88
lca,2017,73
lca,2018,68
lca,2019,75
lca,2020,71
lca,2021,66
lca,2022,63
lca,2023,83
lka,2001,52
lka,2002,92
lka,2003,90
lka,2004,95
lka,2005,99
lka,2006,98
lka,2007,97
lka,2008,97
lka,2009,97
lka,2010,99
lka,2011,99
lka,2012,99
lka,2013,99
lka,2014,99
lka,2015,99
lka,2016,99
lka,2017,99
lka,2018,99
lka,2019,99
lka,2020,96
lka,2021,97
lka,2022,98
lka,2023,99
lso,2001,46
lso,2002,50
lso,2003,47
lso,2004,56
lso,2005,68
lso,2006,80
lso,2007,80
lso,2008,80
lso,2009,81
lso,2010,81
lso,2011,82
lso,2012,82
lso,2013,82
lso,2014,82
lso,2015,82
lso,2016,82
lso,2017,82
lso,2018,82
lso,2019,82
lso,2020,82
lso,2021,82
lso,2022,75
lso,2023,82
ltu,2000,97
ltu,2001,96
ltu,2002,95
ltu,2003,93
ltu,2004,93
ltu,2005,95
ltu,2006,94
ltu,2007,96
ltu,2008,96
ltu,2009,94
ltu,2010,95
ltu,2011,94
ltu,2012,93
ltu,2013,92
ltu,2014,92
ltu,2015,92
ltu,2016,92
ltu,2017,92
ltu,2018,92
ltu,2019,93
ltu,2020,91
ltu,2021,88
ltu,2022,87
ltu,2023,86
lva,2000,90
lva,2001,95
lva,2002,96
lva,2003,97
lva,2004,98
lva,2005,99
lva,2006,99
lva,2007,98
lva,2008,94
lva,2009,92
lva,2010,93
lva,2011,92
lva,2012,92
lva,2013,92
lva,2014,89
lva,2015,92
lva,2016,89
lva,2017,89
lva,2018,94
lva,2019,96
lva,2020,94
lva,2021,85
lva,2022,86
lva,2023,92
mar,2004,91
mar,2005,92
mar,2006,92
mar,2007,92
mar,2014,54
mar,2015,95
mar,2016,99
mar,2017,99
mar,2018,99
mar,2019,99
mar,2020,99
mar,2021,99
mar,2022,99
mar,2023,99
mco,2014,79
mco,2015,79
mco,2016,79
mco,2017,79
mco,2018,79
mco,2019,79
mco,2020,80
mco,2021,80
mco,2022,80
mco,2023,80
mda,2002,69
mda,2003,96
mda,2004,98
mda,2005,98
mda,2006,99
mda,2007,95
mda,2008,97
mda,2009,98
mda,2010,98
mda,2011,96
mda,2012,95
mda,2013,94
mda,2014,93
mda,2015,90
mda,2016,95
mda,2017,92
mda,2018,96
mda,2019,95
mda,2020,93
mda,2021,92
mda,2022,93
mda,2023,93
mdg,2020,14
mdg,2021,24
mdg,2022,32
mdg,2023,47
mdv,2007,56
mdv,2008,76
mdv,2009,96
mdv,2010,96
mdv,2011,96
mdv,2012,99
mdv,2013,99
mdv,2014,97
mdv,2015,99
mdv,2016,99
mdv,2017,99
mdv,2018,99
mdv,2019,96
mdv,2020,97
mdv,2021,98
mdv,2022,98
mdv,2023,99
mex,2000,98
mex,2001,99
mex,2002,89
mex,2003,96
mex,2004,97
mex,2005,97
mex,2006,91
mex,2007,85
mex,2008,94
mex,2009,92
mex,2010,91
mex,2011,97
mex,2012,92
mex,2013,76
mex,2014,95
mex,2015,96
mex,2016,98
mex,2017,62
mex,2018,99
mex,2019,55
mex,2020,79
mex,2021,97
mex,2022,82
mex,2023,74
mhl,2000,6
mhl,2001,6
mhl,2002,70
mhl,2003,90
mhl,2004,92
mhl,2005,71
mhl,2006,60
mhl,2007,91
mhl,2008,79
mhl,2009,66
mhl,2010,90
mhl,2011,74
mhl,2012,58
mhl,2013,56
mhl,2014,53
mhl,2015,70
mhl,2016,49
mhl,2017,62
mhl,2018,61
mhl,2019,64
mhl,2020,68
mhl,2021,58
mhl,2022,54
mhl,2023,61
mkd,2000,95
mkd,2001,94
mkd,2002,95
mkd,2003,97
mkd,2004,95
mkd,2005,95
mkd,2006,96
mkd,2007,95
mkd,2008,95
mkd,2009,97
mkd,2010,99
mkd,2011,98
mkd,2012,96
mkd,2013,96
mkd,2014,96
mkd,2015,93
mkd,2016,93
mkd,2017,97
mkd,2018,94
mkd,2019,94
mkd,2020,68
mkd,2021,80
mkd,2022,89
mkd,2023,88
mli,2019,4
mli,2020,26
mli,2021,33
mli,2022,44
mli,2023,59
mmr,2008,57
mmr,2009,65
mmr,2010,75
mmr,2011,80
mmr,2012,76
mmr,2013,80
mmr,2014,82
mmr,2015,78
mmr,2016,86
mmr,2017,80
mmr,2018,87
mmr,2019,80
mmr,2020,90
mmr,2021,42
mmr,2022,64
mmr,2023,65
mne,2007,95
mne,2008,96
mne,2009,96
mne,2010,97
mne,2011,97
mne,2012,97
mne,2013,94
mne,2014,95
mne,2015,94
mne,2016,86
mne,2017,83
mne,2018,86
mne,2019,81
mne,2020,76
mne,2021,79
mne,2022,70
mne,2023,69
mng,2000,75
mng,2001,95
mng,2002,96
mng,2003,98
mng,2004,98
mng,2005,98
mng,2006,96
mng,2007,97
mng,2008,96
mng,2009,97
mng,2010,95
mng,2011,98
mng,2012,98
mng,2013,97
mng,2014,98
mng,2015,98
mng,2016,90
mng,2017,98
mng,2018,98
mng,2019,98
mng,2020,96
mng,2021,94
mng,2022,93
mng,2023,96
moz,2016,39
moz,2017,43
moz,2018,48
moz,2019,55
moz,2020,47
moz,2021,38
moz,2022,38
moz,2023,44
mrt,2023,24
mus,2004,80
mus,2005,78
mus,2006,85
mus,2007,80
mus,2008,83
mus,2009,85
mus,2010,90
mus,2011,89
mus,2012,90
mus,2013,85
mus,2014,85
mus,2015,96
mus,2016,92
mus,2017,95
mus,2018,99
mus,2019,99
mus,2020,87
mus,2021,83
mus,2022,93
mus,2023,94
mwi,2015,8
mwi,2016,61
mwi,2017,67
mwi,2018,72
mwi,2019,75
mwi,2020,75
mwi,2021,74
mwi,2022,60
mwi,2023,65
mys,2005,91
mys,2006,90
mys,2007,92
mys,2008,93
mys,2009,95
mys,2010,95
mys,2011,95
mys,2012,99
mys,2013,99
mys,2014,99
mys,2015,99
mys,2016,99
mys,2017,99
mys,2018,88
mys,2019,87
mys,2020,84
mys,2021,98
mys,2022,96
mys,2023,96
nam,2017,32
nam,2018,50
nam,2019,56
nam,2020,63
nam,2021,56
nam,2022,79
nam,2023,62
ner,2014,3
ner,2015,16
ner,2016,31
ner,2017,46
ner,2018,48
ner,2019,58
ner,2020,60
ner,2021,66
ner,2022,42
ner,2023,68
nga,2019,9
nga,2020,38
nga,2021,38
nga,2022,38
nga,2023,38
nic,2017,84
nic,2018,95
nic,2019,99
nic,2020,98
nic,2021,83
nic,2022,99
nic,2023,95
npl,2016,25
npl,2017,59
npl,2018,69
npl,2019,76
npl,2020,74
npl,2021,87
npl,2022,87
npl,2023,89
nru,2001,95
nru,2002,83
nru,2003,72
nru,2004,60
nru,2005,50
nru,2006,97
nru,2007,99
nru,2008,99
nru,2009,92
nru,2010,99
nru,2011,99
nru,2012,81
nru,2013,88
nru,2014,94
nru,2015,96
nru,2016,97
nru,2017,94
nru,2018,94
nru,2019,95
nru,2020,97
nru,2021,99
nru,2022,99
nru,2023,99
omn,2000,99
omn,2001,99
omn,2002,98
omn,2003,98
omn,2004,98
omn,2005,97
omn,2006,97
omn,2007,95
omn,2008,98
omn,2009,99
omn,2010,99
omn,2011,99
omn,2012,99
omn,2013,99
omn,2014,99
omn,2015,98
omn,2016,99
omn,2017,99
omn,2018,99
omn,2019,99
omn,2020,99
omn,2021,99
